Category,Data.Carbohydrate,Data.Fiber,Data.Kilocalories,Data.Protein,Data.Sugar Total,Data.Water,Data.Fat.Saturated Fat,Data.Fat.Total Lipid
YOGURT,-0.285723114,-0.4573698,-0.790949859,-0.57397664,0.5181469376536485,0.7746783646690625,-0.379378327,-0.549785989
YOGURT,-0.107324676,-0.4573698,-0.709112858,-0.663883349,0.8608978422263522,0.6542947655189855,-0.389010644,-0.555870967
YOGURT,-0.092212412,-0.4573698,-0.691576357,-0.626974279,0.8899325204680701,0.6276151570586983,-0.395783367,-0.560130451
YOGURT,-0.108799043,-0.4573698,-0.674039857,-0.580601345,-0.459118213,0.6152514360649064,-0.363876317,-0.540050025
EGG,-0.765998249,-0.4573698,-0.451910853,0.15000896505861228,-0.404589653,0.671864264,-0.034270471,-0.021001459
EGG,-0.767472616,-0.4573698,-1.007233363,-0.008983952,-0.408838632,1.053512809186943,-0.500685319,-0.615503744
EGG,-0.662055357,-0.4573698,0.5652061645364221,0.460423708,-0.419461077,-0.093710355,0.9367874847756226,0.9891047780265442
EGG,-0.75199176,-0.4573698,0.483369163,0.42635379734230994,-0.423001894,0.032855105041561306,0.6762634115127546,0.9319059911064903
EGG,-0.396300659,-0.4573698,0.5067511635230206,0.26546810731412984,-0.459118213,-0.128198629,0.5483342016494168,0.758484137
EGG,-0.761943739,-0.4573698,-0.142099348,0.249379538,-0.400340674,0.4535469799092622,0.14558294800907334,0.305761824
EGG,-0.753097535,-0.4573698,-0.381764852,0.15000896505861228,-0.379803941,0.6321702121616741,-0.008985638,0.019767889051587106
EGG,-0.769315575,-0.4573698,-0.370073852,-0.038321931,-0.413087611,0.6728403470096731,-0.004620995,0.10617456716486018
EGG,-0.76636684,-0.4573698,-0.457756353,0.1452770329989599,-0.404589653,0.6621034314098015,-0.03607653,-0.02343545
EGG,-0.713289619,-0.4573698,-0.311618851,0.00899739,-0.336605988,0.5843421335804273,0.053022402,0.11712752636231738
EGG,-0.61192687,-0.4573698,2.1844096926076455,3.4405945193408627,-0.241003971,-1.694812223,1.4147912148061645,1.8659500115563077
